Vivado Simulator 2018.3
Time resolution is 1 ps
T=0 | PC=00000000 | INST=00000093 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=25000 | PC=00000004 | INST=00100113 | ALU=00000001 | MEM_ADDR=00000001 | MEM_WD=00000000 | MEM_RD=00000000
T=35000 | PC=00000008 | INST=002081b3 | ALU=00000001 | MEM_ADDR=00000001 | MEM_WD=00000001 | MEM_RD=00000000
T=45000 | PC=0000000c | INST=00310233 | ALU=00000002 | MEM_ADDR=00000002 | MEM_WD=00000001 | MEM_RD=00000000
T=55000 | PC=00000010 | INST=004182b3 | ALU=00000003 | MEM_ADDR=00000003 | MEM_WD=00000002 | MEM_RD=00000000
T=65000 | PC=00000014 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=75000 | PC=00000018 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=85000 | PC=0000001c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=95000 | PC=00000020 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=105000 | PC=00000024 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=115000 | PC=00000028 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=125000 | PC=0000002c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=135000 | PC=00000030 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=145000 | PC=00000034 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=155000 | PC=00000038 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=165000 | PC=0000003c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=175000 | PC=00000040 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=185000 | PC=00000044 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=195000 | PC=00000048 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=205000 | PC=0000004c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=215000 | PC=00000050 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=225000 | PC=00000054 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=235000 | PC=00000058 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=245000 | PC=0000005c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=255000 | PC=00000060 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=265000 | PC=00000064 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=275000 | PC=00000068 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=285000 | PC=0000006c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=295000 | PC=00000070 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=305000 | PC=00000074 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=315000 | PC=00000078 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=325000 | PC=0000007c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=335000 | PC=00000080 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=345000 | PC=00000084 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=355000 | PC=00000088 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=365000 | PC=0000008c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=375000 | PC=00000090 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=385000 | PC=00000094 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=395000 | PC=00000098 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=405000 | PC=0000009c | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=415000 | PC=000000a0 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=425000 | PC=000000a4 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=435000 | PC=000000a8 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=445000 | PC=000000ac | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=455000 | PC=000000b0 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=465000 | PC=000000b4 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=475000 | PC=000000b8 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=485000 | PC=000000bc | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=495000 | PC=000000c0 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=505000 | PC=000000c4 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=515000 | PC=000000c8 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=525000 | PC=000000cc | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=535000 | PC=000000d0 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=545000 | PC=000000d4 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=555000 | PC=000000d8 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=565000 | PC=000000dc | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=575000 | PC=000000e0 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=585000 | PC=000000e4 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=595000 | PC=000000e8 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=605000 | PC=000000ec | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=615000 | PC=000000f0 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=625000 | PC=000000f4 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=635000 | PC=000000f8 | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
T=645000 | PC=000000fc | INST=00000013 | ALU=00000000 | MEM_ADDR=00000000 | MEM_WD=00000000 | MEM_RD=00000000
